user_id,road_user_type,gender,age,age_group,age_group_id
157,Driver,Female,31,26_to_39,3
158,Driver,Male,42,40_to_64,4
159,Driver,Female,40,40_to_64,4
160,Driver,Male,56,40_to_64,4
161,Passenger,Female,40,40_to_64,4
162,Passenger,Male,13,0_to_16,5
163,Motorcycle rider,Male,64,40_to_64,4
164,Driver,Female,24,17_to_25,2
165,Driver,Male,27,26_to_39,3
166,Passenger,Male,37,26_to_39,3
167,Pedestrian,Male,81,75_or_older,6
168,Pedestrian,Female,80,75_or_older,6
169,Driver,Female,21,17_to_25,2
170,Motorcycle rider,Male,39,26_to_39,3
171,Pedestrian,Male,27,26_to_39,3
172,Motorcycle rider,Male,54,40_to_64,4
173,Driver,Female,17,17_to_25,2
174,Passenger,Female,76,75_or_older,6
175,Motorcycle rider,Male,19,17_to_25,2
176,Motorcycle rider,Female,55,40_to_64,4
177,Driver,Female,44,40_to_64,4
178,Motorcycle rider,Male,28,26_to_39,3
179,Pedestrian,Male,91,75_or_older,6
180,Driver,Male,45,40_to_64,4
181,Passenger,Female,11,0_to_16,5
182,Driver,Female,53,40_to_64,4
183,Driver,Male,63,40_to_64,4
184,Driver,Male,62,40_to_64,4
185,Driver,Male,43,40_to_64,4
186,Driver,Male,73,65_to_74,1
187,Driver,Male,24,17_to_25,2
188,Motorcycle rider,Male,46,40_to_64,4
189,Driver,Female,48,40_to_64,4
190,Pedestrian,Male,69,65_to_74,1
191,Driver,Male,30,26_to_39,3
192,Driver,Male,37,26_to_39,3
193,Motorcycle rider,Male,51,40_to_64,4
194,Driver,Male,46,40_to_64,4
195,Motorcycle rider,Male,73,65_to_74,1
196,Passenger,Female,78,75_or_older,6
197,Driver,Male,73,65_to_74,1
198,Passenger,Female,74,65_to_74,1
199,Motorcycle rider,Male,20,17_to_25,2
200,Driver,Male,18,17_to_25,2
201,Motorcycle rider,Male,27,26_to_39,3
202,Driver,Male,27,26_to_39,3
203,Passenger,Male,14,0_to_16,5
204,Driver,Male,37,26_to_39,3
205,Driver,Female,53,40_to_64,4
206,Motorcycle rider,Male,41,40_to_64,4
207,Motorcycle rider,Male,27,26_to_39,3
208,Motorcycle rider,Male,48,40_to_64,4
209,Motorcycle rider,Female,34,26_to_39,3
210,Motorcycle rider,Male,22,17_to_25,2
211,Passenger,Male,58,40_to_64,4
212,Passenger,Female,68,65_to_74,1
213,Passenger,Male,5,0_to_16,5
214,Passenger,Female,15,0_to_16,5
215,Motorcycle rider,Male,37,26_to_39,3
216,Driver,Male,56,40_to_64,4
217,Driver,Male,20,17_to_25,2
218,Driver,Male,21,17_to_25,2
219,Driver,Male,30,26_to_39,3
220,Driver,Male,35,26_to_39,3
221,Pedestrian,Female,2,0_to_16,5
222,Motorcycle rider,Female,59,40_to_64,4
