vehicle_id,crash_id,bus_flag,heavy_rigid_flag,articulated_flag,State,vehicle_type
2136,20221092,False,False,False,NSW,Other
2137,20223202,False,False,False,QLD,Other
2138,20222005,False,False,False,VIC,Other
2139,20224008,False,False,False,SA,Other
2140,20223241,False,False,False,QLD,Other
2141,20227009,False,False,False,NT,Other
2142,20222071,False,False,False,VIC,Other
2143,20227031,False,True,False,NT,Heavy Rigid Truck
2144,20223097,False,False,False,QLD,Other
2145,20224056,False,False,False,SA,Other
2146,20221232,False,False,True,NSW,Articulated Truck
2147,20222224,False,False,False,VIC,Other
2148,20224057,False,False,False,SA,Other
2149,20221256,True,False,True,NSW,Bus
2150,20223238,False,False,False,QLD,Other
2151,20222003,False,False,False,VIC,Other
2152,20227037,False,False,False,NT,Other
2153,20227012,False,False,False,NT,Other
2154,20223256,False,False,False,QLD,Other
2155,20222140,False,False,False,VIC,Other
2156,20221055,False,False,False,NSW,Other
2157,20222152,False,False,False,VIC,Other
2158,20221098,False,False,False,NSW,Other
2159,20223076,False,False,False,QLD,Other
2160,20222044,False,False,True,VIC,Articulated Truck
2161,20222216,False,False,False,VIC,Other
2162,20223171,False,False,False,QLD,Other
2163,20223015,False,False,False,QLD,Other
2164,20223191,False,False,False,QLD,Other
2165,20223115,False,False,False,QLD,Other
2166,20223004,False,False,False,QLD,Other
2167,20222232,False,False,True,VIC,Articulated Truck
2168,20223218,False,False,True,QLD,Articulated Truck
2169,20222197,False,False,False,VIC,Other
2170,20221255,False,False,False,NSW,Other
2171,20222029,False,False,False,VIC,Other
2172,20223125,False,False,False,QLD,Other
2173,20223222,False,False,False,QLD,Other
2174,20223203,False,True,False,QLD,Heavy Rigid Truck
2175,20223111,False,True,False,QLD,Heavy Rigid Truck
2176,20221212,False,False,False,NSW,Other
2177,20224066,False,False,False,SA,Other
2178,20222223,False,False,False,VIC,Other
2179,20226015,False,True,False,TAS,Heavy Rigid Truck
2180,20223008,False,True,False,QLD,Heavy Rigid Truck
2181,20222181,False,True,False,VIC,Heavy Rigid Truck
2182,20227001,False,False,True,NT,Articulated Truck
2183,20224058,False,False,False,SA,Other
2184,20222028,False,False,True,VIC,Articulated Truck
2185,20222010,False,False,False,VIC,Other
2186,20227023,False,False,False,NT,Other
2187,20222151,False,False,False,VIC,Other
2188,20221249,False,False,False,NSW,Other
2189,20224033,False,False,False,SA,Other
2190,20223098,False,False,False,QLD,Other
2191,20223188,False,True,False,QLD,Heavy Rigid Truck
2192,20222105,False,False,False,VIC,Other
2193,20221149,False,False,False,NSW,Other
2194,20222024,False,False,False,VIC,Other
2195,20221197,False,False,False,NSW,Other
2196,20224060,False,False,False,SA,Other
2197,20223186,False,False,False,QLD,Other
2198,20222154,False,False,False,VIC,Other
2199,20221073,False,False,False,NSW,Other
2200,20226019,False,False,False,TAS,Other
2201,20222236,False,False,False,VIC,Other
2202,20221153,False,False,False,NSW,Other
2203,20222089,False,False,False,VIC,Other
2204,20222067,False,False,False,VIC,Other
2205,20223102,False,False,False,QLD,Other
2206,20223032,False,False,False,QLD,Other
2207,20223037,False,False,False,QLD,Other
2208,20223177,False,False,False,QLD,Other
2209,20221071,False,False,False,NSW,Other
2210,20223143,False,False,False,QLD,Other
2211,20227016,False,False,False,NT,Other
2212,20221151,False,False,False,NSW,Other
2213,20223234,False,False,False,QLD,Other
