user_id,crash_id,age,gender,role,age_group,deceased
3563,20212107,80,Female,Pedestrian,75_or_older,True
3564,20215096,14,Female,Driver,0_to_16,True
3565,20211150,90,Male,Pedestrian,75_or_older,True
3566,20215070,88,Male,Driver,75_or_older,True
3567,20215070,54,Male,Driver,40_to_64,True
3568,20211259,75,Female,Driver,75_or_older,True
3569,20211036,69,Female,Driver,65_to_74,True
3570,20211036,77,Female,Passenger,75_or_older,True
3571,20212166,25,Male,Driver,17_to_25,True
3572,20212178,72,Male,Pedal cyclist,65_to_74,True
3573,20212020,67,Male,Driver,65_to_74,True
3574,20213124,26,Male,Motorcycle rider,26_to_39,True
3575,20215148,45,Male,Motorcycle rider,40_to_64,True
3576,20211255,69,Male,Pedestrian,65_to_74,True
3577,20213125,48,Male,Passenger,40_to_64,True
3578,20217013,16,Male,Driver,0_to_16,True
3579,20213072,48,Male,Driver,40_to_64,True
3580,20214038,70,Male,Pedestrian,65_to_74,True
3581,20211134,27,Male,Driver,26_to_39,True
3582,20213225,55,Male,Passenger,40_to_64,True
3583,20215045,39,Male,Driver,26_to_39,True
3584,20211192,21,Male,Pedestrian,17_to_25,True
3585,20211053,29,Male,Passenger,26_to_39,True
3586,20215083,70,Male,Pedestrian,65_to_74,True
3587,20215011,60,Male,Motorcycle rider,40_to_64,True
3588,20215056,55,Male,Motorcycle rider,40_to_64,True
3589,20213158,30,Female,Passenger,26_to_39,True
3590,20213009,16,Male,Passenger,0_to_16,True
3591,20211129,39,Male,Driver,26_to_39,True
3592,20213060,28,Male,Driver,26_to_39,True
3593,20217011,29,Male,Driver,26_to_39,True
3594,20213186,67,Male,Driver,65_to_74,True
3595,20215053,26,Female,Driver,26_to_39,True
3596,20213194,46,Female,Passenger,40_to_64,True
3597,20212104,50,Male,Driver,40_to_64,True
3598,20214005,52,Male,Driver,40_to_64,True
3599,20213209,90,Female,Driver,75_or_older,True
3600,20213211,48,Male,Motorcycle rider,40_to_64,True
3601,20211209,52,Male,Driver,40_to_64,True
3602,20216026,24,Male,Driver,17_to_25,True
3603,20213091,85,Female,Passenger,75_or_older,True
3604,20217032,54,Male,Pedestrian,40_to_64,True
3605,20212190,23,Female,Driver,17_to_25,True
3606,20211079,57,Female,Passenger,40_to_64,True
3607,20211079,27,Male,Driver,26_to_39,True
3608,20211257,46,Female,Passenger,40_to_64,True
3609,20212070,37,Male,Driver,26_to_39,True
3610,20213203,78,Male,Pedal cyclist,75_or_older,True
3611,20215033,71,Male,Motorcycle rider,65_to_74,True
3612,20211111,48,Male,Motorcycle rider,40_to_64,True
3613,20211231,57,Male,Motorcycle rider,40_to_64,True
3614,20212169,43,Male,Motorcycle rider,40_to_64,True
3615,20211123,67,Female,Driver,65_to_74,True
3616,20217001,58,Female,Driver,40_to_64,True
3617,20214048,69,Male,Pedal cyclist,65_to_74,True
3618,20211258,26,Male,Motorcycle rider,26_to_39,True
3619,20211222,14,Female,Pedestrian,0_to_16,True
3620,20211022,18,Male,Driver,17_to_25,True
3621,20216012,29,Male,Motorcycle rider,26_to_39,True
3622,20215068,12,Male,Passenger,0_to_16,True
3623,20215006,44,Male,Driver,40_to_64,True
3624,20211034,16,Male,Motorcycle rider,0_to_16,True
3625,20217004,36,Female,Passenger,26_to_39,True
3626,20215100,25,Male,Driver,17_to_25,True
3627,20211190,45,Male,Driver,40_to_64,True
3628,20215036,24,Male,Driver,17_to_25,True
3629,20215037,10,Female,Passenger,0_to_16,True
3630,20213193,18,Male,Passenger,17_to_25,True
3631,20213245,39,Male,Motorcycle rider,26_to_39,True
3632,20214057,20,Male,Pedestrian,17_to_25,True
3633,20215108,28,Female,Driver,26_to_39,True
3634,20214019,17,Male,Motorcycle rider,17_to_25,True
3635,20211132,21,Male,Driver,17_to_25,True
3636,20212125,32,Male,Driver,26_to_39,True
3637,20213083,36,Male,Driver,26_to_39,True
3638,20215124,64,Male,Driver,40_to_64,True
3639,20215069,90,Female,Pedestrian,75_or_older,True
3640,20212086,71,Female,Driver,65_to_74,True
3641,20213044,71,Male,Driver,65_to_74,True
3642,20212025,40,Female,Passenger,40_to_64,True
3643,20215058,55,Male,Motorcycle rider,40_to_64,True
3644,20211226,88,Female,Pedestrian,75_or_older,True
3645,20213021,20,Male,Pedal cyclist,17_to_25,True
3646,20216003,17,Male,Motorcycle rider,17_to_25,True
3647,20212073,25,Male,Pedal cyclist,17_to_25,True
