Crash ID,bus_flag,heavy_rigid_flag,articulated_flag,vehicle_type,vehicle_id
20231128,False,False,False,Other,1063
20232048,False,False,False,Other,1064
20236004,False,False,False,Other,1065
20232204,False,False,False,Other,1066
20231251,False,False,False,Other,1067
20231263,False,False,False,Other,1068
20231078,False,False,False,Other,1069
20233251,False,False,False,Other,1070
20234077,False,False,False,Other,1071
20236003,False,False,False,Other,1072
20233246,False,False,False,Other,1073
20232248,False,False,False,Other,1074
20237008,False,False,False,Other,1075
20232026,False,False,False,Other,1076
20233170,False,False,False,Other,1077
20233210,False,False,False,Other,1078
20233076,False,False,False,Other,1079
20233131,False,False,False,Other,1080
20233133,False,False,False,Other,1081
20232124,False,False,False,Other,1082
20232136,False,False,False,Other,1083
20233183,False,False,False,Other,1084
20232022,False,False,False,Other,1085
20231168,False,False,False,Other,1086
20232217,False,False,False,Other,1087
20236016,False,False,False,Other,1088
20231220,False,False,False,Other,1089
20233195,True,False,False,Bus,1090
20231301,False,False,False,Other,1091
20233167,False,False,False,Other,1092
20233021,False,False,False,Other,1093
20231106,False,False,False,Other,1094
20231149,False,True,False,Heavy Rigid Truck,1095
20231226,False,False,False,Other,1096
20236022,False,False,False,Other,1097
20232084,False,False,False,Other,1098
20232172,False,False,False,Other,1099
20237023,False,False,False,Other,1100
20232154,False,False,False,Other,1101
20234026,False,False,False,Other,1102
20232103,False,False,False,Other,1103
20232163,False,False,False,Other,1104
20231163,False,False,False,Other,1105
20231262,False,False,False,Other,1106
20231059,False,False,False,Other,1107
20236011,False,False,False,Other,1108
20234095,False,False,False,Other,1109
20232205,False,False,False,Other,1110
20234059,False,False,False,Other,1111
20234066,False,False,False,Other,1112
20232223,False,False,False,Other,1113
20231010,False,False,False,Other,1114
20231274,False,True,False,Heavy Rigid Truck,1115
20231188,False,True,False,Heavy Rigid Truck,1116
20231062,False,False,False,Other,1117
20233191,False,False,False,Other,1118
20234087,False,False,False,Other,1119
20232150,False,False,False,Other,1120
20233144,False,False,False,Other,1121
20233208,False,False,False,Other,1122
20233212,False,False,False,Other,1123
20234032,False,False,False,Other,1124
20232125,False,False,False,Other,1125
20231234,False,True,False,Heavy Rigid Truck,1126
20233121,False,False,False,Other,1127
20232081,False,False,False,Other,1128
20233098,False,False,False,Other,1129
20233070,False,True,False,Heavy Rigid Truck,1130
20233040,False,False,False,Other,1131
20236027,False,False,False,Other,1132
20232239,False,False,False,Other,1133
20231245,True,False,False,Bus,1134
20231097,False,False,False,Other,1135
20232152,False,False,False,Other,1136
20231022,False,False,False,Other,1137
20231117,False,False,False,Other,1138
20231164,False,False,False,Other,1139
20231019,False,False,False,Other,1140
20233175,False,False,False,Other,1141
20233015,False,False,False,Other,1142
20231043,False,False,False,Other,1143
20234057,False,False,False,Other,1144
20234105,False,False,False,Other,1145
20233214,False,False,False,Other,1146
20234035,False,False,False,Other,1147
20231067,False,False,True,Articulated Truck,1148
20231085,False,False,False,Other,1149
20231026,False,False,False,Other,1150
20233263,False,False,False,Other,1151
20237021,False,False,False,Other,1152
20231214,False,False,False,Other,1153
20232181,False,False,False,Other,1154
20231086,False,False,False,Other,1155
20232076,False,False,False,Other,1156
20233053,False,False,False,Other,1157
20233250,False,False,False,Other,1158
20233118,False,False,False,Other,1159
20231011,False,True,False,Heavy Rigid Truck,1160
20232135,False,False,False,Other,1161
20233035,False,False,False,Other,1162
20237006,False,False,False,Other,1163
20233058,False,False,False,Other,1164
20233264,False,False,False,Other,1165
20232005,False,False,False,Other,1166
20234005,False,False,False,Other,1167
20231012,False,False,False,Other,1168
20231158,False,False,False,Other,1169
20231248,False,False,False,Other,1170
20234006,False,False,False,Other,1171
20233204,False,False,False,Other,1172
20233027,False,False,False,Other,1173
